text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Qdoba_created
Chipotle doesn't deliver to my area wtf <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",avaabooo,0,FALSE,FALSE,NA,NA,4/23/2015 23:55
RT @MeronSmiles: Chipotle... Subway... Carry out it all sounds good right now,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_kiairabrianne,1,TRUE,FALSE,NA,NA,4/23/2015 23:54
That chipotle life!! New twitter life. Forgot password life. #lifeee,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kreezy_krishna,0,FALSE,FALSE,NA,NA,4/23/2015 23:54
RT @nbcwashington: #Chipotle delivery is coming to D.C.! http://t.co/7hc6JFMFrb,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JCMulah,48,TRUE,FALSE,NA,NA,4/23/2015 23:50
RT @Jaydubbb_: Chipotle sounds nice.,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Veranomarieee,2,TRUE,FALSE,NA,NA,4/23/2015 23:48
Stockton softvall takes over d town chipotle <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DomDorris11,0,FALSE,FALSE,NA,NA,4/23/2015 23:48
When @OfficialBradlee  finds out Chipotle is going to deliver.<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B1><U+008C> http://t.co/hmgKmQrqkJ,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Princess_Kaelz,0,FALSE,FALSE,-82.8903783,36.4652383,4/23/2015 23:47
"RT @VH1PNUT_: THOT FOOD: HOT CHEETOS, CHIPOTLE AND DICK.",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kingested,15,TRUE,FALSE,NA,NA,4/23/2015 23:45
"RT @VH1PNUT_: THOT FOOD: HOT CHEETOS, CHIPOTLE AND DICK.",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KeaPDreaMing,15,TRUE,FALSE,NA,NA,4/23/2015 23:45
RT @DesiGomez_xoxo: CHIPOTLE FUXKIN DELIVERS,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_justinieee_,2,TRUE,FALSE,NA,NA,4/23/2015 23:44
RT @every1luvsrisky: When does this Chipotle delivery start?! I need that right about now.,FALSE,0,every1luvsrisky,23-Apr-15,FALSE,5.91E+17,5.91E+17,282321487,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jklmnop8,0,FALSE,FALSE,NA,NA,4/23/2015 23:41
“@Cosmopolitan: Chipotle Is Now Delivering http://t.co/5Fk0k6Yiyd http://t.co/m3PuUMHJhz” wat,FALSE,3,Cosmopolitan,23-Apr-15,FALSE,5.91E+17,5.91E+17,23482952,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",spideeyy,0,FALSE,FALSE,-96.86413956,33.13520772,4/23/2015 23:40
RT @AHYStephen: YO CHIPOTLE DELIVERY IS A REAL THING ALL MY DREAMS HAVE COME TRUE,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",xx365x,74,TRUE,FALSE,NA,NA,4/23/2015 23:40
About to drop out of college and become a chipotle delivery boy,FALSE,5,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sunderwood61,2,FALSE,FALSE,NA,NA,4/23/2015 23:39
