text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @GreeleyUnxpectd: RT @UNCundergrad: UNC Art Edu &amp; Painting student Sarah Drips showcases her #UNCBears mural at #Qdoba... @Qdoba_NOCO ht…,FALSE,0,NA,4/23/2015 23:55,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gw_ib,1,TRUE,FALSE,NA,NA
"@HeyItsLeila I go to qdoba, Olive Garden or ihop. Lol I try not to",FALSE,0,HeyItsLeila,4/23/2015 23:54,FALSE,5.91E+17,5.91E+17,409660384,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",itsaiduhxo,0,FALSE,FALSE,NA,NA
"RT @muxmool: Ladybud party. Ladies who smoke weed. Party with abstract nachos. By @qdoba (@ point gallery in Denver, CO) https://t.co/JZfmo…",FALSE,0,NA,4/23/2015 23:54,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DFornbacher,2,TRUE,FALSE,NA,NA
so everybody just had chipotle and qdoba today except for me <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B9><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>,FALSE,0,NA,4/23/2015 23:50,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",spreadMAI_love,1,FALSE,FALSE,NA,NA
@thejohnset reasons Qdoba&gt; Chipotle (and queso obviously),FALSE,1,thejohnset,4/23/2015 23:48,FALSE,5.91E+17,5.91E+17,16541085,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",j0hnAtha,0,FALSE,FALSE,-104.8872513,39.59877675
Qdoba is fucking disgusting,FALSE,0,NA,4/23/2015 23:48,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",indigo_cuatro,0,FALSE,FALSE,NA,NA
"RT @muxmool: Ladybud party. Ladies who smoke weed. Party with abstract nachos. By @qdoba (@ point gallery in Denver, CO) https://t.co/JZfmo…",FALSE,0,NA,4/23/2015 23:47,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ladybudmag,2,TRUE,FALSE,NA,NA
"2 hours later, a couple route changes, and creative driving I arrive in Huntington to eat my Qdoba.",FALSE,0,NA,4/23/2015 23:45,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FakeMrEdwarrrrd,0,FALSE,FALSE,NA,NA
RT @LacedUpBreezy: I want qdoba,FALSE,0,NA,4/23/2015 23:45,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ShoeHeffner_,1,TRUE,FALSE,NA,NA
@Whiskeyna_tcup that's why Qdoba&gt;&gt;&gt;Chipotle,FALSE,1,Whiskeyna_tcup,4/23/2015 23:44,FALSE,5.91E+17,5.91E+17,3025701477,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chrismangan4,0,FALSE,FALSE,NA,NA
RT @GrannyChels: Qdoba has delivery now <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> they done messed up,FALSE,0,NA,4/23/2015 23:41,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",__CantGetRight,2,TRUE,FALSE,NA,NA
"@Juke_Yah_Boy nowadays, they on some otha shit talkin bout Qdoba better. Foh lol",FALSE,0,Juke_Yah_Boy,4/23/2015 23:40,FALSE,5.91E+17,5.91E+17,421501444,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Miista_Tee,0,FALSE,FALSE,NA,NA
Someone pick me up an ill but you qdoba<ed><U+00A0><U+00BD><ed><U+00B8><U+0088>,FALSE,2,NA,4/23/2015 23:40,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MEdwardsss,0,FALSE,FALSE,NA,NA
Qdoba is waaaaaaay better than Chipotle <ed><U+00A0><U+00BD><ed><U+00B8><U+009B> yall sleeping on them man,FALSE,1,NA,4/23/2015 23:39,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_AmourChristina,0,FALSE,FALSE,NA,NA
A random person gave me their Qdoba leftovers in the hall way of my dorm. Faith in humanity restored http://t.co/XTwZDeCGtw,FALSE,4,NA,4/23/2015 23:39,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",moran_kyler,0,FALSE,FALSE,NA,NA
omg i wanna go to Qdoba <ed><U+00A0><U+00BD><ed><U+00B8><U+008B><ed><U+00A0><U+00BD><ed><U+00B8><U+008B>,FALSE,0,NA,4/23/2015 23:38,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_AmourChristina,0,FALSE,FALSE,NA,NA
RT @BEautifully_C: I'm convinced if you like Chipotle then you've never had Qdoba,FALSE,0,NA,4/23/2015 23:38,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",krissykrisss__,8,TRUE,FALSE,NA,NA
"you know what is great tho? them bomb ass chicken nachos from Qdoba
#anime #manga #tumblr … http://t.co/1CDadUaHan http://t.co/JmQdUGpfzr",FALSE,1,NA,4/23/2015 23:38,FALSE,NA,5.91E+17,NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",PLAYPKM,0,FALSE,FALSE,NA,NA
I want qdoba,FALSE,1,NA,4/23/2015 23:38,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LacedUpBreezy,1,FALSE,FALSE,NA,NA
"I wonder why qdoba not big, it's better then chipotle...i hate having to drive all the way to upland for it. <ed><U+00A0><U+00BD><ed><U+00B8><U+0090>",FALSE,0,NA,4/23/2015 23:35,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ReynaChristine,0,FALSE,FALSE,NA,NA
Hi my name is Megan and I am addicted to qdoba,FALSE,1,NA,4/23/2015 23:34,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_Meggaann_,0,FALSE,FALSE,NA,NA
@xoalaina qdoba is where it's at<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>,FALSE,1,xoalaina,4/23/2015 23:34,FALSE,5.91E+17,5.91E+17,43237483,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Steamy_Tamimi93,0,FALSE,FALSE,NA,NA
