"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ShortCakee_xoxo: “@angel_burrito: ATTENTION PACESETTERS:
Get y'all ass to bed before I tell Freeman y'all staying up late. GOOD NIGHT.”…",FALSE,0,NA,2015-05-01 05:25:12,FALSE,NA,"594009656361558016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","solvalero98",2,TRUE,FALSE,NA,NA
"RT @ShortCakee_xoxo: “@angel_burrito: ATTENTION PACESETTERS:
Get y'all ass to bed before I tell Freeman y'all staying up late. GOOD NIGHT.”…",FALSE,0,NA,2015-05-01 05:23:12,FALSE,NA,"594009150503448576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angel_burrito",2,TRUE,FALSE,NA,NA
"“@angel_burrito: ATTENTION PACESETTERS:
Get y'all ass to bed before I tell Freeman y'all staying up late. GOOD NIGHT.” Come blow dry my hair",FALSE,5,"angel_burrito",2015-05-01 05:23:02,FALSE,"594008127965630464","594009108958711808","1156348963","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ShortCakee_xoxo",2,FALSE,FALSE,"-96.63028408","32.77224246"
"@causeimmarissa finna roll the best burrito you've ever had <ed><U+00A0><U+00BC><ed><U+00BC><U+009A>",FALSE,0,"causeimmarissa",2015-05-01 04:21:10,FALSE,"593993295702798336","593993538368450560","2314493402","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","T3D0",0,FALSE,FALSE,"-95.42544887","30.09805667"
"Sound economy live Troy NY @ Bombers Burrito Bar, Troy https://t.co/7CGv6LNX4H",FALSE,1,NA,2015-05-01 04:11:19,FALSE,NA,"593991062399647744",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RalphRenna",0,FALSE,FALSE,"-73.687558","42.7347"
"RT @vickyBeanMr: When you're late for your flight http://t.co/PXATk3DCys",FALSE,0,NA,2015-05-01 04:06:30,FALSE,NA,"593989849700442112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","burnt_burrito",26329,TRUE,FALSE,NA,NA
"the things i would do for a chipotle burrito right now........",FALSE,2,NA,2015-05-01 03:32:29,FALSE,NA,"593981290447302656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taylorsaylorrr",0,FALSE,FALSE,"-94.92365533","38.81913785"
"Noise between stations Troy live music @ Bombers Burrito Bar, Troy https://t.co/7MidOTSqhp",FALSE,0,NA,2015-05-01 02:53:52,FALSE,NA,"593971572135845888",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RalphRenna",0,FALSE,FALSE,"-73.687558","42.7347"
"Noise between stations live Troy NY @ Bombers Burrito Bar, Troy https://t.co/WOM21dV73C",FALSE,0,NA,2015-05-01 02:50:38,FALSE,NA,"593970758658990081",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RalphRenna",0,FALSE,FALSE,"-73.687558","42.7347"
"Eric Braymer @ Bombers Burrito Bar, Troy https://t.co/wm3GY8Unql",FALSE,0,NA,2015-05-01 02:48:27,FALSE,NA,"593970209087688704",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RalphRenna",0,FALSE,FALSE,"-73.687558","42.7347"
"Eric Braymer of Two guys @ Bombers Burrito Bar, Troy https://t.co/h4ExGqds4H",FALSE,0,NA,2015-05-01 02:47:51,FALSE,NA,"593970056431828992",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RalphRenna",0,FALSE,FALSE,"-73.687558","42.7347"
