"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Chipotle Becomes First Fast Food Chain to Go GMO-Free #occupy https://t.co/JlLOd1lVFm via @occupy",FALSE,0,NA,2015-05-01 07:27:05,FALSE,NA,"594040326429364224",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","LeftonMain",0,FALSE,FALSE,NA,NA
"RT @MahirBSM: Ever wish u could go back &amp; change the way u did something &amp; not take it for granted?
Thats how I feel bout that chipotle bow…",FALSE,0,NA,2015-05-01 07:26:47,FALSE,NA,"594040254115352576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheLeetle",1,TRUE,FALSE,NA,NA
"RT @ericaischeesyy: ""Is it cold in here?""
""I thought you said 'Is Chipotle here?'""<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> @Lynjj_Locaaa",FALSE,0,NA,2015-05-01 07:26:40,FALSE,NA,"594040224432431104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lynjj_Locaaa",1,TRUE,FALSE,NA,NA
"@ShowdownGG daaang that chipotle tho!!! Jeepy fan!",FALSE,0,"ShowdownGG",2015-05-01 07:26:08,FALSE,NA,"594040088671059968","1968136242","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ComiBoog",0,FALSE,FALSE,"0","0"
"RT @Yesssbae: I need a chipotle burrito and $850,000",FALSE,0,NA,2015-05-01 07:25:36,FALSE,NA,"594039954830929921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kshawww",20,TRUE,FALSE,NA,NA
"@charrrrrr___ Comee on I wish chipotle was open <ed><U+00A0><U+00BD><ed><U+00B8><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+00B4>",FALSE,0,"charrrrrr___",2015-05-01 07:23:15,FALSE,"594038419493294082","594039362091950080","557255498","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BoomOnlySister_",0,FALSE,FALSE,NA,NA
"Chick fil a for breakfast then chipotle for lunch",FALSE,1,NA,2015-05-01 07:23:03,FALSE,NA,"594039311042916352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_YoungSmooth3",0,FALSE,FALSE,NA,NA
"Gosh I want some Starbucks and Chipotle right now <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>",FALSE,2,NA,2015-05-01 07:22:51,FALSE,NA,"594039263013969920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","victoria_cyman",0,FALSE,FALSE,NA,NA
"Chipotle just started delivering burritos in 67 U.S. cities http://t.co/JTHBZHSzqg",FALSE,0,NA,2015-05-01 07:21:39,FALSE,NA,"594038961120681984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","newswatchoz",0,FALSE,FALSE,NA,NA
"Fuck chipotle im not going anymore .. <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>",FALSE,0,NA,2015-05-01 07:21:28,FALSE,NA,"594038912122662912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blackdynamite95",0,FALSE,FALSE,NA,NA
