"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"I am seriously craving a qdoba burrito rn.",FALSE,0,NA,2015-05-01 06:53:29,FALSE,NA,"594031872134393856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_jordankayy",0,FALSE,FALSE,NA,NA
"I am literally going through qdoba withdrawals. my body is so confused. it's like where is the guac? where are the chips? who am I?",FALSE,0,NA,2015-05-01 06:50:32,FALSE,NA,"594031128928915460",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LaurenLaylor",0,FALSE,FALSE,NA,NA
"RT @Bucks: MUST WATCH VIDEO: John Henson Hands Out Qdoba Burritos To Fans Waiting For Tickets » http://t.co/tI22kwSYLR http://t.co/2gdxQFIR…",FALSE,0,NA,2015-05-01 06:42:06,FALSE,NA,"594029008439877632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xiong2110",41,TRUE,FALSE,NA,NA
"1. Qdoba 2. Chavas. 3. Every other Mexican restaurant then Chipotle lol",FALSE,0,NA,2015-05-01 06:04:59,FALSE,NA,"594019668182073344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","john25hart",0,FALSE,FALSE,NA,NA
"Taco king burritos are so trash when you are used to qdoba <ed><U+00A0><U+00BD><ed><U+00B8><U+009F>",FALSE,3,NA,2015-05-01 06:04:55,FALSE,NA,"594019649664069632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DillonHenrie",0,FALSE,FALSE,NA,NA
"One thing that sucks about Pandora is that if you're tryna get down on some sex ass music Pandora likes to throw a random ass qdoba add :(",FALSE,1,NA,2015-05-01 05:51:44,FALSE,NA,"594016332519051264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StarStormTito",0,FALSE,FALSE,"0","0"
"RT @PlCTUREPORN: Drawings without lifting the pencil from the paper <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3> http://t.co/IbdVmmw8bN",FALSE,0,NA,2015-05-01 05:37:10,FALSE,NA,"594012664948346880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","letty_qdoba",9484,TRUE,FALSE,NA,NA
"RT @thatstotallyBS: Breakfast Club&gt;&gt;&gt;",FALSE,0,NA,2015-05-01 05:36:58,FALSE,NA,"594012616986505216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","letty_qdoba",2,TRUE,FALSE,NA,NA
"@CamberMarlow i want qdoba",FALSE,0,"CamberMarlow",2015-05-01 05:31:56,FALSE,"594010414813294593","594011348008185856","2963633424","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xoxo_ashleyy_",0,FALSE,FALSE,NA,NA
"But drunk Qdoba <ed><U+00A0><U+00BD><ed><U+00B8><U+009B><ed><U+00A0><U+00BD><ed><U+00B8><U+009B><ed><U+00A0><U+00BD><ed><U+00B8><U+009B><ed><U+00A0><U+00BD><ed><U+00B8><U+009B><ed><U+00A0><U+00BD><ed><U+00B8><U+009B>",FALSE,1,NA,2015-05-01 05:28:13,FALSE,NA,"594010414813294593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CamberMarlow",0,FALSE,FALSE,NA,NA
"I just spent 30 dollars at Qdoba",FALSE,5,NA,2015-05-01 05:24:18,FALSE,NA,"594009429655171073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RebeccaAnn_21",1,FALSE,FALSE,"0","0"
"Qdoba on the brain",FALSE,0,NA,2015-05-01 05:09:25,FALSE,NA,"594005681423822848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ellcee_14",0,FALSE,FALSE,NA,NA
"Jordan &amp; I had Qdoba last night &amp; both woke up with horrible stomach aches but his passed within an hour. I've taken medicine all day &amp;",FALSE,0,NA,2015-05-01 04:51:46,FALSE,NA,"594001240859746304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marianels",0,FALSE,FALSE,NA,NA
"Qdoba sounds so good right now <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,0,NA,2015-05-01 04:51:06,FALSE,NA,"594001074022850560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","be_jellyofKelly",0,FALSE,FALSE,NA,NA
"- at Qdoba Mexican Grill, Charlotte, NC, United States for 2 hours - http://t.co/Npx1nNjac2",FALSE,0,NA,2015-05-01 04:51:04,FALSE,NA,"594001066536116224",NA,"<a href=""http://connect.com"" rel=""nofollow"">Connect.com</a>","Ahmed_Alwardi",0,FALSE,FALSE,NA,NA
"RT @Tatyannaa_: I think Qdoba queso has crack in it. It needs to be investigated. There is no way in hell I should be addicted to it like I…",FALSE,0,NA,2015-05-01 04:49:20,FALSE,NA,"594000628122157056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SBOBEK22",1,TRUE,FALSE,NA,NA
"RT @Dopplergavin: Clay and I talking about O.H Squats 

Ryan: ""I'm gonna hold two Qdoba bowls above my head and squat, alternating bites wh…",FALSE,0,NA,2015-05-01 04:46:57,FALSE,NA,"594000030694055937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClayAnderson5",2,TRUE,FALSE,NA,NA
"Broke my @qdoba virginity tonight with @maddiebrown0012",FALSE,1,NA,2015-05-01 04:45:55,FALSE,NA,"593999766729715713",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","12liegl",0,FALSE,FALSE,NA,NA
"Jen and I just got free Qdoba #blessed",FALSE,1,NA,2015-05-01 04:45:24,FALSE,NA,"593999639344451584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AishaRichardss",0,FALSE,FALSE,NA,NA
"Angel child brings me Qdoba http://t.co/YqKDp2s4p0",FALSE,5,NA,2015-05-01 04:45:20,FALSE,NA,"593999622336450560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bianca_mills",0,FALSE,FALSE,NA,NA
"@AngelaStanger can we take a pic at qdoba tmrw",FALSE,0,"AngelaStanger",2015-05-01 04:44:47,FALSE,"593999138221588480","593999484574543873","391211691","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JessDziedzic",0,FALSE,FALSE,NA,NA
"The thought of a steak bowl from Qdoba is making me twitch. I have a problem.",FALSE,0,NA,2015-05-01 04:32:32,FALSE,NA,"593996401241034753",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tatyannaa_",0,FALSE,FALSE,NA,NA
"Ate about 10,000 calories in Qdoba last weekend yet I'm craving it right now...",FALSE,0,NA,2015-05-01 04:32:09,FALSE,NA,"593996306000936961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","niksav_21",0,FALSE,FALSE,NA,NA
"BREAKING: @dallascowboys trade @itsjimmynorton to the Titans along with cash considerations &amp; half a qdoba burrito http://t.co/MIUKW4Gv2u",FALSE,3,NA,2015-05-01 04:31:20,FALSE,NA,"593996098550673408",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","ryanjones11",0,FALSE,FALSE,NA,NA
"RT @narageee: When you go into a food coma after eating Qdoba &amp; wake up 7 hours later..",FALSE,0,NA,2015-05-01 04:30:04,FALSE,NA,"593995781209657344",NA,"<a href=""http://kyroskoh.com"" rel=""nofollow"">FoodSharer</a>","FoodSharer",1,TRUE,FALSE,NA,NA
"I think Qdoba queso has crack in it. It needs to be investigated. There is no way in hell I should be addicted to it like I am.",FALSE,1,NA,2015-05-01 04:29:59,FALSE,NA,"593995760695255042",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tatyannaa_",1,FALSE,FALSE,NA,NA
"When you go into a food coma after eating Qdoba &amp; wake up 7 hours later..",FALSE,1,NA,2015-05-01 04:29:25,FALSE,NA,"593995615924686849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narageee",1,FALSE,FALSE,NA,NA
"i been wanting qdoba for the longest man",FALSE,1,NA,2015-05-01 04:25:29,FALSE,NA,"593994627239153664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","og_von_",0,FALSE,FALSE,NA,NA
"Okay fine, @CaptainM0rgan_ &amp; I are walking to Qdoba #truelove",FALSE,3,NA,2015-05-01 04:22:48,FALSE,NA,"593993950047903745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","udchik",0,FALSE,FALSE,NA,NA
"Wish qdoba was open",FALSE,0,NA,2015-05-01 04:18:06,FALSE,NA,"593992768973705216",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Big_BadBarlow",0,FALSE,FALSE,NA,NA
"I wish qdoba delivered",FALSE,1,NA,2015-05-01 04:14:56,FALSE,NA,"593991970030227456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","haylewho6",0,FALSE,FALSE,NA,NA
"RT @EvanBrende: i need some qdoba queso in my life",FALSE,0,NA,2015-05-01 04:10:49,FALSE,NA,"593990934200614914",NA,"<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","WCWaterBender",1,TRUE,FALSE,NA,NA
"@wryshydia @el_qdoba_luncha seriously. its mondo relatable.",FALSE,2,"wryshydia",2015-05-01 04:01:09,FALSE,"593988254405300225","593988502968238080","2907513968","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FucktardIdiot",0,FALSE,FALSE,NA,NA
"@el_qdoba_luncha this is a perfect tweet.",FALSE,1,"el_qdoba_luncha",2015-05-01 04:00:10,FALSE,"593987723469328384","593988254405300225","27097950","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wryshydia",0,FALSE,FALSE,NA,NA
"I want a qdoba naked burrito with double chicken and extra queso <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,1,NA,2015-05-01 03:59:50,FALSE,NA,"593988172532588544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danielles0715",0,FALSE,FALSE,NA,NA
"I really don't get mad but when the Qdoba workers are stingy with the steak and chicken I turn into an animal...don't do that to me EVER",FALSE,4,NA,2015-05-01 03:58:10,FALSE,NA,"593987750795288576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DRDishman",0,FALSE,FALSE,NA,NA
"theres a dog in my neighborhood whose bark sounds like a baby shouting ""Raul"" and ive never seen what it looks like",FALSE,5,NA,2015-05-01 03:58:03,FALSE,NA,"593987723469328384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","el_qdoba_luncha",2,FALSE,FALSE,NA,NA
"RT @paulycristo: the ppl im following are always doing the coolest shit while im out here eating qdoba chips n thinking about new rolly cha…",FALSE,0,NA,2015-05-01 03:57:55,FALSE,NA,"593987687293407232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","niquill",1,TRUE,FALSE,NA,NA
"@tmorgan_reilly8 @normanv1995 alright, if im crazy for likin qdoba then you are straight off your rocker if you think moes is the best",FALSE,1,"tmorgan_reilly8",2015-05-01 03:54:38,FALSE,"593969529010683904","593986863549022208","441944350","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OwenDachisen",0,FALSE,FALSE,NA,NA
"@Colashcraft hurry up i am withering away without qdoba in me",FALSE,2,"Colashcraft",2015-05-01 03:52:15,FALSE,NA,"593986261926318080","1461247320","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kenzie_laster",0,FALSE,FALSE,NA,NA
"Chipotle is way better than Qdoba.",FALSE,1,NA,2015-05-01 03:47:13,FALSE,NA,"593984995057750016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dymond_Thomas03",0,FALSE,FALSE,NA,NA
"@christina_7312 are you one of those who like qdoba over chipotle",FALSE,0,"christina_7312",2015-05-01 03:46:37,FALSE,"593984600776445953","593984843353952256","275815015","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gwhitfield13",0,FALSE,FALSE,NA,NA
